Playlist ID,URI,Album,Song Name,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Time Signature
57.0,0L4YCNRfXAoTvdpWeH2RGj,Red,Begin Again,0.53,0.526,7.0,-8.349,1.0,0.0263,0.199,3.52e-06,0.232,0.323,79.025,237613.0,4.0
58.0,6qnM0XXPZOINWA778uNqQ9,1989,Welcome To New York,0.793,0.634,7.0,-4.807,1.0,0.0324,0.038,1.76e-06,0.304,0.615,117.024,212600.0,4.0
59.0,1p80LdxRV74UKvL8gnD7ky,1989,Blank Space,0.753,0.678,5.0,-5.421,1.0,0.0644,0.085,1.64e-06,0.13,0.583,96.006,231827.0,4.0
60.0,4lIxdJw6W3Fg4vUIYCB0S5,1989,Style,0.598,0.786,2.0,-5.572,1.0,0.0383,0.00253,0.0016,0.117,0.456,95.019,231000.0,4.0
61.0,5OndtwLGA9O6XHFcGm2H7r,1989,Out Of The Woods,0.552,0.842,7.0,-6.938,1.0,0.0373,0.00103,1.17e-05,0.337,0.343,91.991,235800.0,4.0
62.0,0dAb8TY433dl3ZfXYCLE19,1989,All You Had To Do Was Stay,0.602,0.736,5.0,-5.778,1.0,0.0338,0.00196,4.57e-05,0.105,0.471,96.969,193293.0,4.0
63.0,5xTtaWoae3wi06K5WfVUUH,1989,Shake It Off,0.647,0.785,7.0,-5.414,1.0,0.165,0.0561,0.0,0.148,0.943,160.015,219200.0,4.0
64.0,3wmN11qXGL0HyPojvEE1D9,1989,I Wish You Would,0.648,0.898,0.0,-5.963,1.0,0.0513,0.016,9.91e-05,0.109,0.502,118.02,207440.0,4.0
65.0,273dCMFseLcVsoSWx59IoE,1989,Bad Blood,0.65,0.802,7.0,-6.114,1.0,0.181,0.0871,6.54e-06,0.148,0.295,170.146,211933.0,4.0
66.0,59HjlYCeBsxdI0fcm3zglw,1989,Wildest Dreams,0.554,0.666,8.0,-7.414,1.0,0.0747,0.0702,0.00593,0.106,0.472,140.056,220440.0,4.0
67.0,4dYUOfmWna6DFccnz732n8,1989,How You Get The Girl,0.764,0.66,5.0,-6.136,1.0,0.0494,0.00461,0.00477,0.0915,0.524,119.988,247533.0,4.0
68.0,3oKMl2tJv4fdidkXUYMI5x,1989,This Love,0.475,0.459,4.0,-8.768,1.0,0.0333,0.635,0.0,0.101,0.0828,143.988,250093.0,4.0
69.0,3jBMHD19RZdAqG9iFQh7xc,1989,I Know Places,0.596,0.763,0.0,-4.99,1.0,0.0661,0.231,0.0,0.2,0.507,159.958,195707.0,4.0
70.0,06WgOCf0LV2h4keYXDRnuh,1989,Clean,0.81,0.379,4.0,-7.771,1.0,0.0349,0.241,0.0,0.113,0.22,103.981,271000.0,4.0
71.0,2yLa0QULdQr0qAIvVwN6B5,reputation,...Ready For It?,0.613,0.764,2.0,-6.509,1.0,0.136,0.0527,0.0,0.197,0.417,160.015,208187.0,4.0
72.0,2x0WlnmfG39ZuDmstl9xfX,reputation,End Game,0.649,0.589,2.0,-6.237,1.0,0.0558,0.00845,0.0,0.108,0.151,159.073,244827.0,4.0
73.0,4svZDCRz4cJoneBpjpx8DJ,reputation,I Did Something Bad,0.696,0.602,0.0,-6.156,0.0,0.159,0.0679,2.11e-05,0.0696,0.305,82.989,238253.0,4.0
74.0,1R0a2iXumgCiFb7HEZ7gUE,reputation,Don’t Blame Me,0.615,0.534,9.0,-6.719,0.0,0.0386,0.106,1.76e-05,0.0607,0.193,135.917,236413.0,4.0
75.0,6NFyWDv5CjfwuzoCkw47Xf,reputation,Delicate,0.75,0.404,9.0,-10.178,0.0,0.0682,0.216,0.000357,0.0911,0.0499,95.045,232253.0,4.0
